submission_month,submission_yr,submission_yr_month,YEAR,analysis,filing_status,submission_date,DEPARTMENT_NAME,DEPARTMENT_NUMBER,COUNTY_NAME,REGION,ZIP_CODE,CHIEF_ADMIN_NAME,total_stops,search_conducted_yes,search_reason_consent,search_reason_contraband,search_reason_probable,search_reason_inventory,search_reason_incident_to_arrest,contraband_discovered_yes,contraband_discovered_no,contraband_drugs paraphernailia,contraband_currency,contraband_weapons,contraband_alchohol,contraband_stolen property,contraband_other,result_verbal,result_written,result_citation,result_written_arrest,result_citation_arrest,result_arrest,arrest_penal_code,arrest_traffic,arrest_city_ordinance,arrest_warrant,physical_force_yes,physical_force_no,complaints,complaints_disciplinary_yes,complaints_disciplinary_no,physical_force_yes_bodily_injury_suspect,physical_force_yes_bodily_injury_officer,physical_force_yes_bodily_injury_both
02,2020,2020-02,2019,,Full,2/21/2020,SAN ANGELO POLICE DEPT.,451201,TOM GREEN,2,76902,FRANK H. CARTER III,258803,802,233,19,195,41,314,285,517,199,2,10,37,6,31,5550,4841,14652,207,144,409,190,310,10,250,5,25798,,,,,,
02,2021,2021-02,2020,,Full,2/25/2021,HOUSTON POLICE DEPT.,201209,HARRIS,4,77073,HUBERT A. ACEVEDO,217288,18229,5321,536,7089,1097,4186,6138,211150,3665,104,1285,609,213,262,89713,0,116381,0,4008,7186,5366,306,105,1409,1795,214980,8,0,8,,,
02,2022,2022-02,2021,Dept.,Full,2/28/2022,HOUSTON POLICE DEPT.,201209,HARRIS,4,77073,TROY R. FINNER,203671,16951,4767,245,6113,1259,4567,6167,10784,3473,90,1692,484,201,227,86886,0,105690,0,3199,7896,6701,1738,651,2005,2173,201498,10,0,10,2173,0,0
02,2025,2025-02,2024,TCOLE,Full,2/24/2025,SAN ANTONIO POLICE DEPARTMENT,029218,BEXAR,10,78221,WILLIAM P. MCMANUS,166670,10493,1154,270,2215,1381,5473,4146,6347,2931,12,438,413,49,303,1270,70471,84835,64,1129,8901,6146,704,45,3199,68,166602,7,4,3,68,0,0
02,2024,2024-02,2023,,Full,2/26/2024,DALLAS POLICE DEPARTMENT,113208,DALLAS,7,75215,EDGARDO L. GARCIA,147771,10597,1362,575,3299,2669,2692,4367,6230,3437,87,1135,215,151,275,65552,4767,71488,24,179,5761,2479,368,56,3061,60,147711,28,0,28,24,7,29
02,2023,2023-02,2022,Dept.,Full,2/24/2023,HARRIS CO. SHERIFF'S OFFICE,201100,HARRIS,4,77002,EDWARD GONZALEZ,147260,17520,2840,495,5626,3449,5110,6421,11099,3165,21,1174,365,181,1515,34374,62211,38540,213,199,11723,8839,530,1,2765,47,147213,4,0,4,41,1,5
02,2024,2024-02,2023,,Full,2/23/2024,HARRIS CO. SHERIFF'S OFFICE,201100,HARRIS,4,77002,EDWARD GONZALEZ,145769,15026,2035,358,3644,3537,5452,4605,10421,2198,21,849,254,209,1074,26810,67299,40714,202,285,10459,8030,534,4,2378,15,145754,4,0,4,9,4,2
02,2025,2025-02,2024,Dept.,Full,2/21/2025,HARRIS CO. SHERIFF'S OFFICE,201100,HARRIS,4,77002,EDWARD GONZALEZ,139288,14356,1575,438,4064,3066,5213,5242,9114,2705,19,736,208,212,1362,27674,62111,38593,197,285,10428,7945,429,2,2534,36,139252,1,0,1,10,5,6
02,2020,2020-02,2019,,Full,2/25/2020,AUSTIN POLICE DEPARTMENT,453201,TRAVIS,7,78768,BRIAN E. MANLEY,139051,9446,44,87,3496,579,5240,2595,6851,1009,391,235,102,0,858,11281,68277,51688,0,74,7731,5211,412,4,2104,94,138957,,,,,,
10,2020,2020-10,2019,,Full,10/20/2020,SAN ANTONIO POLICE DEPT.,029218,BEXAR,7,78221,WILLIAM P. MCMANUS,138909,12277,1094,163,1269,4175,5576,7625,7652,3236,32,302,424,146,485,0,29688,97788,5,0,11227,7470,492,25,3245,54,138855,0,0,0,,,
02,2024,2024-02,2023,,Full,2/22/2024,SAN ANTONIO POLICE DEPARTMENT,029218,BEXAR,10,78221,WILLIAM P. MCMANUS,138509,9729,1318,284,1946,1002,5179,3776,5953,2719,12,427,360,64,194,588,54860,73744,102,926,8289,5673,530,46,3068,68,138441,2,0,2,50,0,18
03,2021,2021-03,2020,,Full,3/5/2021,SAN ANTONIO POLICE DEPT.,029218,BEXAR,7,78221,WILLIAM P. MCMANUS,138180,10855,903,60,1319,377,8196,4190,6665,3229,22,368,310,144,117,32,62909,65109,6,478,10199,6504,976,21,2698,44,138129,3,0,3,,,
02,2023,2023-02,2022,TCOLE,Full,2/23/2023,SAN ANTONIO POLICE DEPT.,029218,BEXAR,10,78221,WILLIAM P. MCMANUS,132490,10633,1172,367,2136,792,6166,4241,6392,2889,27,413,467,72,373,645,47959,73161,95,876,9754,6912,562,39,3212,61,132429,2,0,2,61,0,0
02,2022,2022-02,2021,Dept.,Full,2/28/2022,HARRIS CO. SHERIFF'S OFFICE,201100,HARRIS,4,77002,EDWARD GONZALEZ,131816,16701,2603,553,6022,3008,4515,6707,9994,3478,26,1301,455,176,1271,25555,55484,39436,218,144,10979,8636,480,6,2219,35,131781,7,0,7,32,2,1
02,2025,2025-02,2024,Dept.,Full,2/18/2025,DALLAS POLICE DEPARTMENT,113208,DALLAS,7,75215,MICHAEL T. IGO,129828,9784,1217,547,2936,2839,2245,3673,6111,2890,82,890,250,110,212,58411,4596,61715,17,127,4962,2165,385,24,2532,57,129771,26,0,26,26,7,24
02,2020,2020-02,2019,,Full,2/28/2020,EL PASO POLICE DEPT.,141204,EL PASO,2,79903,GREGORY K. ALLEN,126214,7329,3493,192,1099,559,1986,1933,5396,1642,27,94,126,29,15,0,21893,99504,0,0,4817,3241,408,23,1145,98,126116,,,,,,
02,2020,2020-02,2019,,Full,2/27/2020,ARLINGTON POLICE DEPT.,439201,TARRANT,8,76010,WILBER D. JOHNSON III,117081,5186,313,0,3038,1047,788,2143,3043,1821,4,140,155,6,17,60774,0,52066,0,0,4241,1729,284,0,2228,27,117054,,,,,,
02,2025,2025-02,2024,TCOLE,Full,2/12/2025,HARRIS CO. CONST. PCT. 4,201104,HARRIS,4,77379,MARK H. HERMAN,115319,7148,235,95,1559,1991,3268,2873,4275,973,13,273,229,218,1167,7405,51974,50031,317,549,5043,4003,218,4,1684,28,115291,1,0,1,8,5,3
02,2023,2023-02,2022,TCOLE,Full,2/1/2023,HARRIS CO. CONST. PCT. 4,201104,HARRIS,4,77379,MARK H. HERMAN,112146,6984,373,154,1629,2344,2484,3164,3820,1164,7,298,187,118,1390,10028,41341,55451,124,622,4580,3541,195,0,1590,128,112018,3,0,3,14,3,5
02,2022,2022-02,2021,TCOLE,Full,2/24/2022,SAN ANTONIO POLICE DEPT.,029218,BEXAR,7,78221,WILLIAM P. MCMANUS,111269,10387,1201,277,2241,460,6208,4275,6112,3191,30,447,326,66,215,539,54974,45460,90,1072,9134,6765,502,35,2994,54,111215,3,2,1,54,7,0
03,2021,2021-03,2020,,Full,3/1/2021,HARRIS CO. SHERIFF'S OFFICE,201100,HARRIS,4,77002,EDWARD GONZALEZ,108714,11748,1751,412,3889,2193,3503,4857,6891,2404,35,758,420,155,1085,17268,47090,36584,70,187,7515,5722,604,2,1187,81,108633,6,0,3,,,
02,2021,2021-02,2020,,Full,2/25/2021,EL PASO POLICE DEPT.,141204,EL PASO,2,79903,GREGORY K. ALLEN,107362,4649,1152,210,1266,480,1541,1744,105618,1388,13,51,150,26,116,89,27142,76313,63,29,3726,2325,595,16,950,215,107147,4,0,2,,,
02,2024,2024-02,2023,,Full,2/22/2024,HARRIS CO. CONST. PCT. 4,201104,HARRIS,4,77379,MARK H. HERMAN,104538,6470,220,102,1255,2116,2777,2464,4006,821,6,246,192,177,1022,7568,42621,48976,110,509,4754,3593,196,1,1583,0,104538,7,0,7,0,0,0
02,2022,2022-02,2021,TCOLE,Full,2/28/2022,EL PASO POLICE DEPT.,141204,EL PASO,2,79903,GREGORY K. ALLEN,102444,4230,534,217,1032,222,2225,1599,2631,1045,28,62,232,14,218,4,22946,75810,290,309,3085,1995,299,28,1362,132,102312,2,0,2,132,0,0
02,2023,2023-02,2022,Dept.,Full,2/28/2023,DALLAS POLICE DEPARTMENT,113208,DALLAS,7,75215,EDGARDO L. GARCIA,96247,3995,413,265,1071,1194,1052,1599,2396,1252,47,455,122,49,112,35006,582,58396,12,99,2152,893,114,16,1240,55,96192,14,0,14,13,0,42
02,2022,2022-02,2021,TCOLE,Full,2/16/2022,HARRIS CO. CONST. PCT. 4,201104,HARRIS,4,77379,MARK H. HERMAN,95120,5473,477,168,1527,1516,1785,2457,3016,1085,12,337,190,115,718,9623,34184,47269,91,328,3625,2843,146,4,1051,88,95032,2,0,2,8,1,1
09,2020,2020-09,2019,,Full,9/14/2020,PLANO POLICE DEPT.,085218,COLLIN,6,75086,DANIEL H. CURTIS,94478,3267,792,103,900,22,1450,1220,2047,604,3,16,125,21,451,31085,24066,37171,175,419,1562,693,214,2,977,8,94470,9,0,9,,,
02,2020,2020-02,2019,,Full,2/26/2020,Dallas Police Dept,113208,DALLAS,6,75215,ULISHA R. HALL,93526,3588,255,128,533,1822,850,924,2664,690,35,158,91,19,21,18721,93,72847,8,204,1653,721,153,25,966,303,93223,,,,,,
02,2021,2021-02,2020,,Full,2/23/2021,Dallas Police Dept,113208,DALLAS,6,75215,EDGARDO L. GARCIA,91762,3000,440,176,765,874,745,1074,90688,811,34,243,102,23,113,20169,90,69766,13,140,1584,775,138,17,807,87,91675,5,0,5,,,
07,2020,2020-07,2019,,Full,7/15/2020,KINNEY CO. SHERIFF'S OFFICE,271100,KINNEY,2,78832,BRAD M. COE,83800,0,0,0,0,0,0,4,0,4,0,0,2,1,0,0,135,845,0,1,1,2,0,0,0,0,838,,,,,,
02,2020,2020-02,2019,,Full,2/28/2020,HARRIS CO. CONST. PCT. 4,201104,HARRIS,4,77379,MARK H. HERMAN,83337,4229,425,85,1183,1594,936,1231,2992,619,8,99,215,73,217,851,25849,54212,56,355,1986,1513,236,2,573,29,83308,,,,,,
02,2025,2025-02,2024,Dept.,Full,2/27/2025,ARLINGTON POLICE DEPARTMENT ,439201,TARRANT,8,76011,ALEXANDER D. JONES,83335,2768,75,0,1838,305,550,1317,1451,1045,0,117,129,3,23,47597,0,33398,0,0,2340,1206,248,2,884,22,83313,8,0,8,2,0,2
02,2020,2020-02,2019,,Full,2/28/2020,HARRIS CO. SHERIFF'S OFFICE,201100,HARRIS,4,77002,EDWARD GONZALEZ,82563,7578,833,177,1541,2169,2858,2101,5477,964,29,201,289,144,474,6281,34238,36860,39,148,4997,3842,422,0,917,43,82520,,,,,,
02,2024,2024-02,2023,,Full,2/14/2024,LUBBOCK POLICE DEPARTMENT,303202,LUBBOCK,1,79457,GREGORY W. RUSHIN,77948,2218,573,33,712,530,370,853,1365,561,2,50,93,10,137,47497,678,28153,9,46,1565,652,100,7,861,2,77946,1,0,1,1,1,0
02,2023,2023-02,2022,TCOLE,Full,2/27/2023,EL PASO POLICE DEPT.,141204,EL PASO,2,79903,PETER F. PACILLAS,77290,3482,200,165,685,88,2344,1163,2319,910,7,45,75,9,117,0,15234,59075,82,81,2818,1427,1498,0,56,70,77220,1,0,1,22,0,48
02,2021,2021-02,2020,,Full,2/26/2021,HARRIS CO. CONST. PCT. 4,201104,HARRIS,4,77379,MARK H. HERMAN,77096,3881,340,139,1164,1194,1018,1613,2272,776,6,158,181,86,406,1420,28640,44627,50,214,2134,1876,495,2,496,53,77043,1,0,1,,,
02,2021,2021-02,2020,,Full,2/27/2021,ARLINGTON POLICE DEPT.,439201,TARRANT,8,76010,ALEXANDER D. JONES,76153,3524,218,0,2404,483,419,1659,1865,1350,1,160,139,5,4,36478,0,37076,0,0,2599,1359,245,3,992,16,76137,5,0,5,,,
02,2025,2025-02,2024,TCOLE,Full,2/27/2025,EL PASO POLICE DEPARTMENT ,141204,EL PASO,2,79903,PETER F. PACILLAS,74800,3727,624,174,665,317,1947,1239,2488,998,5,57,74,12,93,0,16596,55505,36,63,2600,1533,154,9,1003,71,74729,1,0,1,63,0,8
02,2020,2020-02,2019,,Full,2/21/2020,HARRIS CO. CONST. PCT. 5,201105,HARRIS,4,77094,THEODORE F. HEAP,73851,3300,318,48,730,732,1472,867,2433,466,6,89,126,36,144,7725,27548,35640,59,123,2756,1409,374,0,1155,32,73819,,,,,,
01,2023,2023-01,2022,TCOLE,Full,1/28/2023,CORPUS CHRISTI POLICE DEPT.,355203,NUECES,3,78469,MICHAEL D. MARKLE,73697,3314,755,118,737,1288,416,1057,2257,733,11,140,51,17,105,34518,13511,24060,9,144,1455,1000,143,1,464,13,73684,0,0,0,7,2,4
02,2024,2024-02,2023,,Full,2/26/2024,EL PASO POLICE DEPARTMENT ,141204,EL PASO,2,79903,PETER F. PACILLAS,73081,3815,530,154,793,352,1986,1214,2601,946,6,40,70,13,139,0,13957,56332,39,152,2601,1450,194,22,1126,53,73028,0,0,0,46,3,4
02,2021,2021-02,2020,,Full,2/23/2021,AUSTIN POLICE DEPARTMENT,453201,TRAVIS,7,78768,BRIAN E. MANLEY,72054,5467,25,59,2036,498,2849,1318,4149,516,137,147,70,0,448,7665,35322,25352,0,346,3369,2828,9,0,532,39,72015,25,5,20,,,
03,2021,2021-03,2020,,Full,3/1/2021,PLANO POLICE DEPT.,085218,COLLIN,6,75086,EDDIE T. DRAIN,70218,2748,814,194,987,22,728,1410,68808,676,25,24,204,20,461,22881,21446,24380,41,175,1295,1019,85,0,407,0,70218,0,0,3,,,
03,2020,2020-03,2019,,Full,3/4/2020,CORPUS CHRISTI POLICE DEPT.,355203,NUECES,3,78469,MICHAEL D. MARKLE,69834,3218,928,98,599,1212,381,831,2387,625,14,57,38,12,85,35938,10123,22133,25,265,1350,699,160,1,505,41,69793,,,,,,
02,2025,2025-02,2024,TCOLE,Full,2/17/2025,LUBBOCK POLICE DEPARTMENT,303202,LUBBOCK,1,79457,SETH Y. HERMAN,68585,2263,736,36,808,355,328,891,1372,602,1,62,93,10,123,41655,314,25147,36,70,1363,661,78,0,730,10,68575,0,0,0,7,0,3
02,2024,2024-02,2023,,Full,2/23/2024,PLANO POLICE DEPARTMENT ,085218,COLLIN,7,75086,EDDIE T. DRAIN,66990,2380,517,100,899,59,805,1047,1333,722,16,116,172,37,155,24968,19092,21597,37,204,1092,684,47,4,598,7,66983,6,0,6,5,0,2
01,2024,2024-01,2023,,Full,1/31/2024,CORPUS CHRISTI POLICE DEPT.,355203,NUECES,3,78469,MICHAEL D. MARKLE,66855,2300,476,113,561,801,349,759,1541,534,9,103,48,9,56,31756,13354,20530,15,135,1065,717,115,5,378,12,66843,0,0,0,10,1,1
02,2024,2024-02,2023,,Full,2/27/2024,ARLINGTON POLICE DEPARTMENT ,439201,TARRANT,8,76011,ALEXANDER D. JONES,64686,2832,72,0,1912,319,529,1307,1525,1041,1,130,113,7,15,39791,0,22642,0,0,2253,1092,245,3,913,20,64666,4,0,4,5,3,0
02,2020,2020-02,2019,,Full,2/27/2020,GRAND PRAIRIE POLICE DEPT.,113213,DALLAS,6,75052,DANIEL J. SCESNEY,63645,3266,309,141,1767,356,693,1336,1930,1085,11,33,102,17,88,26349,3180,31488,9,1183,1436,946,1533,56,96,1,63644,,,,,,
02,2022,2022-02,2021,Dept.,Full,2/23/2022,DALLAS POLICE DEPARTMENT,113208,DALLAS,6,75215,EDGARDO L. GARCIA,62380,2753,400,178,776,665,734,1111,1642,828,39,335,102,56,130,20416,225,40102,10,122,1505,797,104,19,717,144,62236,12,0,12,107,37,16
02,2022,2022-02,2021,Dept.,Full,2/27/2022,PLANO POLICE DEPT.,085218,COLLIN,6,75086,EDDIE T. DRAIN,62159,2329,603,146,959,36,585,1201,1128,743,2,85,160,22,189,21892,18213,20845,32,157,1020,780,59,1,369,8,62151,5,0,5,8,5,5
01,2025,2025-01,2024,TCOLE,Full,1/22/2025,CORPUS CHRISTI POLICE DEPT.,355203,NUECES,3,78469,MICHAEL D. MARKLE,62064,2005,342,72,480,845,266,601,1404,432,9,75,41,13,31,25255,16038,19741,20,223,787,625,123,1,281,13,62051,0,0,0,6,7,0
02,2023,2023-02,2022,Dept.,Full,2/28/2023,ARLINGTON POLICE DEPT.,439201,TARRANT,8,76010,ALEXANDER D. JONES,61078,2890,140,0,2124,211,415,1443,1447,1161,1,156,112,2,11,34279,0,24584,0,0,2215,1146,191,0,878,11,61067,3,0,3,0,0,0
02,2022,2022-02,2021,TCOLE,Full,2/10/2022,CORPUS CHRISTI POLICE DEPT.,355203,NUECES,3,78469,MICHAEL D. MARKLE,60336,2103,440,75,429,891,268,728,1375,537,15,68,29,14,65,23200,12803,23239,17,145,932,640,98,2,354,35,60301,0,0,0,7,1,1
02,2025,2025-02,2024,Dept.,Full,2/26/2025,PLANO POLICE DEPARTMENT ,085218,COLLIN,7,75086,EDDIE T. DRAIN,60172,2021,369,72,649,53,878,909,1112,610,10,92,166,37,133,23610,16256,19040,36,169,1061,718,70,5,473,4,60168,5,0,5,3,0,1
02,2022,2022-02,2021,Dept.,Full,2/23/2022,ARLINGTON POLICE DEPT.,439201,TARRANT,8,76010,ALEXANDER D. JONES,60073,2893,123,0,2134,267,369,1490,1403,1219,0,164,95,5,7,28218,0,29780,0,0,2075,1161,200,0,714,17,60056,4,0,4,17,0,0
02,2023,2023-02,2022,Dept.,Full,2/13/2023,LUBBOCK POLICE DEPT.,303202,LUBBOCK,1,79457,FLOYD O. MITCHELL,59696,1918,502,37,676,454,249,803,1115,538,3,39,97,12,114,31817,570,26004,9,32,1264,509,105,2,689,4,59692,1,0,1,3,1,0
02,2022,2022-02,2021,Dept.,Full,2/11/2022,HARRIS CO. CONST. PCT. 5,201105,HARRIS,4,77094,THEODORE F. HEAP,59459,3231,257,75,710,730,1459,1342,1889,618,7,171,152,49,345,6554,22578,27602,51,143,2531,1605,198,3,919,50,59409,0,0,0,34,8,8
02,2025,2025-02,2024,Dept.,Full,2/6/2025,GRAND PRAIRIE POLICE DEPARTMENT ,113213,DALLAS,7,75052,DANIEL J. SCESNEY,58779,2836,382,159,1528,400,367,662,2174,1222,1,87,85,9,541,26056,6067,24513,13,788,1342,849,244,16,1034,1,58778,0,0,0,1,0,0
02,2023,2023-02,2022,Dept.,Full,2/27/2023,PLANO POLICE DEPT.,085218,COLLIN,7,75086,EDDIE T. DRAIN,57385,2256,562,121,898,39,636,1092,1164,658,13,107,187,33,265,20576,14853,20740,33,203,980,552,65,5,594,4,57381,3,0,3,1,0,3
09,2020,2020-09,2019,,Full,9/24/2020,MONTGOMERY CO. SHERIFF'S OFFICE,339100,MONTGOMERY,4,77301,RAND M. HENDERSON,55168,1891,722,13,613,406,137,599,1292,394,11,35,54,9,96,39929,5228,9519,39,83,370,249,45,0,198,6,55162,0,0,0,,,
01,2025,2025-01,2024,TCOLE,Full,1/31/2025,HARRIS CO. CONST. PCT. 5,201105,HARRIS,4,77094,TERRY L. ALLBRITTON,53696,4197,293,90,1026,894,1894,1453,2744,675,6,145,252,83,292,4363,22150,23746,79,187,3171,2312,139,0,986,14,53682,0,0,0,14,0,0
02,2020,2020-02,2019,,Full,2/28/2020,BEXAR CO. SHERIFF'S OFFICE,029100,BEXAR,7,78207,JAVIER O. SALAZAR,53595,493,128,15,218,76,56,296,53299,139,0,9,27,39,82,146,15102,38263,17,66,1,45,26,1,12,97,53595,,,,,,
02,2024,2024-02,2023,,Full,2/20/2024,MONTGOMERY CO. SHERIFF'S OFFICE,339100,MONTGOMERY,5,77301,COURTNEY D. DELOSSANTOSCOY,53191,1060,318,17,437,214,74,407,653,279,3,43,63,8,63,37889,5795,9103,13,29,362,274,15,0,115,2,53189,0,0,0,2,0,0
02,2025,2025-02,2024,Dept.,Full,2/13/2025,MONTGOMERY COUNTY SHERIFF'S OFFICE,339100,MONTGOMERY,5,77301,WESLEY S. DOOLITTLE,52774,1095,355,5,502,160,73,448,647,315,10,77,69,6,48,34301,7756,10304,63,47,303,282,39,0,92,3,52771,0,0,0,3,0,0
02,2020,2020-02,2019,,Full,2/28/2020,GARLAND POLICE DEPT.,113212,DALLAS,6,75042,JEFFREY L. BRYAN,52163,3061,1112,115,1327,310,197,1318,1743,575,1,52,102,12,576,14191,3276,32980,2,683,1031,857,123,4,732,13,52150,,,,,,
01,2023,2023-01,2022,Dept.,Full,1/26/2023,HARRIS CO. CONST. PCT. 5,201105,HARRIS,4,77094,THEODORE F. HEAP,51916,3501,189,94,690,995,1533,1276,2225,565,3,158,147,46,357,4797,18829,25494,38,139,2619,1597,136,2,1061,9,51907,0,0,0,7,3,2
02,2025,2025-02,2024,Dept.,Full,2/11/2025,FRISCO POLICE DEPARTMENT ,085210,COLLIN,7,75034,DAVID A. SHILSON,51915,1264,382,72,658,48,104,568,696,425,0,19,46,4,74,23664,8356,19193,16,110,576,324,92,0,286,4,51911,8,0,8,2,0,2
01,2023,2023-01,2022,TCOLE,Full,1/27/2023,MONTGOMERY CO. SHERIFF'S OFFICE,339100,MONTGOMERY,5,77301,RAND M. HENDERSON,50392,1560,541,14,570,349,86,557,1003,377,12,68,80,13,80,37025,4746,8069,26,60,466,385,29,0,138,3,50389,0,0,0,3,0,0
09,2020,2020-09,2019,,Full,9/11/2020,FRISCO POLICE DEPT.,085210,COLLIN,6,75034,DAVID A. SHILSON,50213,1881,717,110,868,110,76,874,1007,662,1,9,85,10,107,23087,10508,15449,20,216,933,533,215,1,420,11,50202,14,0,14,,,
02,2021,2021-02,2020,,Full,2/25/2021,HARRIS CO. CONST. PCT. 5,201105,HARRIS,4,77094,THEODORE F. HEAP,49704,2713,298,57,603,663,1092,1010,1703,538,4,89,133,55,191,6443,19392,21730,44,68,2027,1241,254,2,642,9,49695,0,0,0,,,
02,2020,2020-02,2019,,Full,2/27/2020,IRVING POLICE DEPT.,113216,DALLAS,6,75015,JEFFERY L. SPIVEY,49452,1974,723,49,902,190,110,861,1113,658,7,27,72,18,79,11933,9635,27442,20,155,267,266,25,4,147,5,49447,,,,,,
01,2022,2022-01,2021,Dept.,Full,1/25/2022,MONTGOMERY CO. SHERIFF'S OFFICE,339100,MONTGOMERY,4,77301,RAND M. HENDERSON,49358,1827,753,19,661,283,111,670,1157,428,7,72,96,9,123,39221,2527,7134,11,48,417,315,30,0,131,1,49357,1,0,1,1,0,0
02,2020,2020-02,2019,,Full,2/25/2020,EL PASO CO. SHERIFF'S OFFICE,141100,EL PASO,2,79938,RICHARD D. WILES,47700,683,412,17,186,33,35,337,348,209,5,7,52,1,63,0,33629,13887,0,0,184,94,1,0,89,90,47610,,,,,,
02,2025,2025-02,2024,Dept.,Full,2/11/2025,LAREDO POLICE DEPARTMENT ,479201,WEBB,3,78041,MIGUEL A. RODRIGUEZ JR,47108,1776,480,90,820,256,130,597,1179,470,11,34,213,32,192,1889,21870,22699,147,502,1,524,29,4,93,95,47013,0,0,0,28,3,64
02,2024,2024-02,2023,,Full,2/20/2024,GRAND PRAIRIE POLICE DEPARTMENT ,113213,DALLAS,7,75052,DANIEL J. SCESNEY,46316,1812,166,129,1064,220,233,1128,684,891,7,58,67,9,160,16332,5005,24011,15,366,587,386,95,27,460,5,46311,2,0,2,2,2,1
02,2024,2024-02,2023,,Full,2/22/2024,HARRIS CO. CONST. PCT. 5,201105,HARRIS,4,77094,THEODORE F. HEAP,45892,3234,177,59,660,590,1748,1102,2132,499,4,162,149,49,239,3090,18944,21073,44,147,2594,1725,75,0,985,12,45880,0,0,0,12,0,0
02,2023,2023-02,2022,TCOLE,Full,2/24/2023,GRAND PRAIRIE POLICE DEPT.,113213,DALLAS,7,75052,DANIEL J. SCESNEY,45581,2178,207,169,1254,239,309,1309,869,1070,3,59,68,11,98,16573,3946,23740,12,485,825,553,101,53,615,3,45578,0,0,0,3,0,0
